Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
2576940,179000.0,41.0,-19.9219328,-43.943176799999996,1,1,0,0,102.0,500.0,centro-sul,Centro,25/08/18,Rua dos Goitacazes,365
346562,189000.0,45.0,-19.8582916,-43.9199233,2,1,0,1,50.0,180.0,norte,Minaslândia (P Maio),25/08/18,Rua Ana Pereira Menezes,207
3238778,270000.0,58.0,-19.833215,-43.93634299999997,2,2,1,2,66.95,150.0,norte,Floramar,25/08/18,Rua Cirandinha,70
3234162,290000.0,88.0,-19.924806584607555,-43.946960126953115,2,2,0,0,85.0,760.0,centro-sul,Santo Agostinho,25/08/18,Rua dos Timbiras,2500
3253078,359000.0,74.0,-19.964481699999997,-43.973593799999996,3,2,1,2,105.0,400.0,oeste,Estrela Dalva,25/08/18,Rua Frutuoso Viana,198
1528565,390000.0,100.0,-19.973893,-43.97038199999997,3,3,1,2,186.44,320.0,oeste,Buritis,25/08/18,Rua Sílvio de Oliveira Martins,135
365494,430000.0,92.0,-19.969670350480246,-43.969846453967314,3,2,1,2,180.0,275.0,oeste,Buritis,25/08/18,Rua Lauro Ferreira,63
3250256,510000.0,156.21,-19.891477,-43.92951960000005,4,2,1,1,133.0,230.0,nordeste,Silveira,25/08/18,Rua Ilacir Pereira Lima,662
3249227,250000.0,70.0,-19.96327181696412,-43.964685461901865,2,1,1,2,84.0,522.0,oeste,Estoril,25/08/18,Rua Engenheiro Godofredo dos Santos,104
1584184,115000.0,50.0,-19.9295286,-44.017643099999994,2,1,0,1,0.0,45.0,noroeste,Camargos,25/08/18,Rua José Cláudio Sanches,444
2448941,154000.0,43.0,-19.859837,-43.92122610000001,2,1,0,1,27.36,200.0,nordeste,São Gabriel,25/08/18,Rua Ana Pereira Menezes,207
3242435,170000.0,55.0,-19.8082124,-43.96674769999999,2,1,0,1,66.0,230.0,venda-nova,Vila Capri,25/08/18,Rua Geralda Rodrigues da Costa,55
2582857,215000.0,54.0,-19.889426999999998,-43.95459199999999,2,1,0,1,0.0,160.0,noroeste,Bom Jesus,25/08/18,Rua Aporé,877
348899,220000.0,65.0,-19.894940301983908,-43.93043095078736,2,1,0,1,65.0,350.0,nordeste,Silveira,25/08/18,Rua Jataí,60
1943940,220000.0,60.0,-19.880929300000002,-43.93264729999999,2,1,0,0,82.0,486.75,nordeste,Palmares,25/08/18,Rua Matos da Silveira,11
