ImovelID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
2576940,179000,41,-19.9219328,-43.9431768,1,1,0,0,102,500,centro-sul,Centro,12/08/2018,Rua dos Goitacazes,365
346562,189000,45,-19.8590285,-43.9194247,2,1,0,1,50,180,nordeste,São Gabriel,12/08/2018,Rua Ana Pereira Menezes,207
3238778,270000,58,-19.833215,-43.936343,2,2,1,2,66.95,150,norte,Floramar,12/08/2018,Rua Cirandinha,70
3234162,290000,88,-19.92480658,-43.94696013,2,2,0,0,85,760,centro-sul,Centro,12/08/2018,Rua dos Timbiras,2500
3253078,360000,74,-19.9643369,-43.9750297,3,2,1,2,105,400,oeste,Estrela Dalva,12/08/2018,Rua Frutuoso Viana,198
1528565,390000,100,-19.973893,-43.970382,3,3,1,2,186.44,320,oeste,Buritis,12/08/2018,Rua Sílvio de Oliveira Martins,135
365494,430000,92,-19.96967035,-43.96984645,3,2,1,2,180,275,oeste,Buritis,12/08/2018,Rua Lauro Ferreira,63
3250256,510000,156.21,-19.891477,-43.9295196,4,2,1,1,133,230,nordeste,Ipiranga,12/08/2018,Rua Ilacir Pereira Lima,662
3249227,250000,70,-19.96327182,-43.96468546,2,1,1,2,84,522,oeste,Estoril,12/08/2018,Rua Engenheiro Godofredo dos Santos,104
1584184,115000,50,-19.9295286,-44.0176431,2,1,0,1,0,45,noroeste,Califórnia,12/08/2018,Rua José Cláudio Sanches,444
2448941,154000,43,-19.859837,-43.9212261,2,1,0,1,27.36,200,nordeste,São Gabriel,12/08/2018,Rua Ana Pereira Menezes,207
3242435,170000,55,-19.8082124,-43.9667477,2,1,0,1,66,230,pampulha,Cenáculo,12/08/2018,Rua Geralda Rodrigues da Costa,55
2582857,215000,54,-19.889427,-43.954592,2,1,0,1,0,160,noroeste,Aparecida,12/08/2018,Rua Aporé,877
348899,220000,65,-19.8949403,-43.93043095,2,1,0,1,65,350,leste,Graça,12/08/2018,Rua Jataí,60
1943940,220000,60,-19.8809293,-43.9326473,2,1,0,0,82,486.75,nordeste,Ipiranga,12/08/2018,Rua Matos da Silveira,11
1582520,239000,60,-19.9596843,-43.9677822,3,1,0,1,26.59,180,oeste,Estoril,12/08/2018,Rua Mário Coutinho,481
354832,250000,55,-19.8835138,-43.9950249,2,1,0,1,60,70,pampulha,Castelo,12/08/2018,Rua Castelo de Alcobaça,68
956472,280000,55,-19.90926,-43.9384426,2,1,0,1,65,250,leste,Colégio Batista,12/08/2018,Rua Araxá,246
1933848,290000,82,-19.895095,-43.931615,2,1,0,1,80.91,500,leste,Cidade Nova,12/08/2018,Rua Wânia Carvalho Silveira,51
3249441,295000,75,-19.9703555,-43.9718802,3,2,0,1,97.8,350,oeste,Buritis,12/08/2018,Rua Maria Heilbuth Surette,473
3237831,300000,76.82,-19.9730513,-43.9736903,3,2,1,2,182.81,340,oeste,Buritis,12/08/2018,Rua Maria Heilbuth Surette,565
3251562,329000,180,-19.7952493,-43.9864775,3,1,1,1,58.98,60,venda-nova,Mantiqueira,12/08/2018,Rua Jordelina Maria do Carmo,210
3242187,372000,107.41,-19.8875294,-43.921787,3,2,1,1,119.12,250,leste,Cidade Nova,12/08/2018,Rua Inspetor Nilo Seabra,116
1895372,390000,93,-19.9376465,-43.9810757,3,3,1,1,66.6,500,oeste,Jardim América,12/08/2018,Rua Geraldo Bicalho,22
3236019,399000,96,-19.9021932,-43.9236443,3,3,1,1,120.43,330,leste,Cidade Nova,12/08/2018,Rua Conselheiro Lafaiete,1996
3235992,400000,125,-19.949206,-43.937897,3,2,1,3,125,350,centro-sul,São Pedro,12/08/2018,Rua Yucatan,91
3238478,400000,80,-19.884772,-43.935096,3,2,1,2,150,250,nordeste,Ipiranga,12/08/2018,Rua Ingá,430
3242039,400000,95,-19.9796897,-43.9655289,3,3,3,2,120.5,350,oeste,Buritis,12/08/2018,Rua Esmeraldo Botelho,235
3250034,400000,110,-19.9783266,-43.9698273,3,3,1,2,140.39,350,oeste,Buritis,12/08/2018,Rua Professor Miguel de Souza,347
2876942,430000,98,-19.9783111,-43.9698363,3,1,1,2,189.11,400,oeste,Buritis,12/08/2018,Rua Professor Miguel de Souza,275
3242227,459000,78.44,-19.9831479,-43.9740693,3,1,1,2,144,670,oeste,Buritis,12/08/2018,Avenida Deputado Cristóvam Chiaradia,391
3255453,480000,124,-19.9727494,-43.9689202,3,3,1,2,225,300,oeste,Buritis,12/08/2018,Rua Stella Hanriot,260
180163,495000,105,-19.9757732,-43.9641914,3,2,1,2,2300,650,oeste,Buritis,12/08/2018,Rua José Hemetério Andrade,430
362762,510000,117.43,-19.9689658,-43.9722443,3,3,1,2,278.23,512,oeste,Buritis,12/08/2018,Rua Professor Euclydes Ferreira,235
3246840,519000,230,-19.8919441,-43.925504,4,2,1,1,200.01,274,leste,Cidade Nova,12/08/2018,Rua Francisco de Paula Castro,105
345512,540000,190,-19.8931236,-43.9077571,3,3,1,2,91,195,leste,Boa Vista,12/08/2018,Rua Emídio Germano,19
3237368,540000,150,-19.9746561,-43.9703068,3,3,2,2,105,360,oeste,Buritis,12/08/2018,Rua Cônsul Walter,150
3254232,548000,100,-19.9709749,-43.9738178,3,2,1,2,187.89,750,oeste,Buritis,12/08/2018,Rua Maria Heilbuth Surette,370
3244401,550000,106,-19.9703604,-43.9688636,4,3,1,2,184,452,oeste,Buritis,12/08/2018,Rua Ernani Agricola,170
3256374,550000,95,-19.9741823,-43.9671991,3,3,1,2,230,420,oeste,Buritis,12/08/2018,Rua Marco Aurélio de Miranda,170
3256809,550000,110,-19.9753949,-43.9650891,3,3,1,2,229,550,oeste,Buritis,12/08/2018,Rua José Hemetério Andrade,72
3258309,580000,100,-19.9673591,-43.9651771,3,3,1,2,233,609,oeste,Buritis,12/08/2018,Rua Vitorio Magnavacca,404
3248963,625000,230,-19.9739335,-43.9644006,3,4,1,2,140,350,oeste,Buritis,12/08/2018,Rua Doutor Lucídio Avelar,225
3105834,650000,130,-19.9747508,-43.9648745,4,3,1,3,286.42,700,oeste,Buritis,12/08/2018,Rua Henrique Furtado Portugal,285
3250921,690000,132,-19.931605,-43.952013,4,4,1,1,200.25,535,centro-sul,Santo Agostinho,12/08/2018,Rua Rodrigues Caldas,310
3251065,695000,170,-19.9763904,-43.976389,3,3,1,2,290,584,oeste,Buritis,12/08/2018,Rua Eli Seabra Filho,105
3215566,730000,101.08,-19.8895519,-43.9296862,4,3,1,2,193.8,802,leste,Cidade Nova,12/08/2018,Rua Ilacir Pereira Lima,267
3247272,750000,94.39,-19.8938801,-43.9225158,4,2,1,2,237.2,628,leste,Cidade Nova,12/08/2018,Avenida José Cândido da Silveira,440
3255809,750000,125,-19.95474,-43.948054,3,3,1,1,282,1100,centro-sul,São Bento,12/08/2018,Rua Professor José Renault,277
3218849,780000,137,-19.9816799,-43.9742344,4,4,2,3,306.15,720,oeste,Buritis,12/08/2018,Rua Pedro Natalício de Morais,457
3240472,780000,149,-19.8807057,-43.9980286,3,3,1,3,231,380,pampulha,Castelo,12/08/2018,Avenida Miguel Perrela,115
1839012,800000,180,-19.919649,-43.988242,3,3,1,3,1,265,noroeste,Coração Eucarístico,12/08/2018,Rua Itutinga,95
1831811,890000,172,-19.9046968,-43.9151805,4,4,2,3,324,650,leste,Horto Florestal,12/08/2018,Rua Artur Alvim,273
21629,900000,146.89,-19.9558912,-43.9358268,4,2,1,2,305.37,800,centro-sul,Anchieta,12/08/2018,Rua Doutor Astolfo Vieira de Resende,177
3239896,950000,140,-19.8955147,-43.9320985,4,2,1,2,255,1050,nordeste,Nova Floresta,12/08/2018,Rua São Gonçalo,785
2540890,2000000,540,-19.928501,-43.925843,4,3,2,3,816.92,2200,centro-sul,Funcionários,12/08/2018,Rua Piauí,1029
3253506,192388.56,26.81,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
346620,205124.92,28.41,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253556,209247.93,28.41,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347206,213453.81,28.41,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
346588,228914.4,32.95,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3248479,230000,67,-19.968229,-43.967697,3,1,1,1,80,200,oeste,Buritis,12/08/2018,Rua Professora Bartira Mourão,438
346757,231203.54,32.95,-19.9240358,-43.9384257,1,1,1,1,0.01,250,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253557,232295.08,34.26,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
346783,235334.77,33.64,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347193,238209.24,32.95,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347098,240065,33.64,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253562,240591.34,32.95,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347195,242465.65,33.64,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253578,242997.25,32.95,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347209,246775.81,34.01,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347315,247339.21,33.64,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
1993125,265000,72,-19.9561057,-43.967286,2,2,0,1,53.56,300,oeste,Buritis,12/08/2018,Rua Cordelina Silveira Matos,150
3244353,265000,78,-19.9161602,-43.9679287,3,2,0,1,68.01,369.6,noroeste,Padre Eustáquio,12/08/2018,Rua Frederico Bracher Júnior,200
346604,265829.2,37.15,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
346920,271172.37,37.15,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347101,273884.09,37.15,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347197,276622.93,37.15,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253528,278110.14,36.66,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253507,278457.92,35.95,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253563,279389.16,37.15,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
346927,284054.92,35.95,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253508,287705.6,41.07,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
346608,289207.36,38.36,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347214,289402.53,36.66,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
346924,293488.48,41.07,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
346926,295020.43,38.36,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253564,295588.69,35.95,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
3253579,298554.58,35.95,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
347190,299387.6,41.07,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
346571,299967.2,52.97,-19.9240358,-43.9384257,2,1,1,1,1,300,centro-sul,Centro,12/08/2018,Rua Espírito Santo,1059
