ImovelID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
3262152,600000,150,-19.973864,-43.970652,4,3,1,2,283,640,oeste,Buritis,29/08/18,Rua Sílvio de Oliveira Martins,61
3248963,625000,232,-19.9739335,-43.9644006,3,4,1,3,140,350,oeste,Buritis,29/08/18,Rua Doutor Lucídio Avelar,225
3105834,650000,130,-19.9747508,-43.9648745,4,3,1,3,286.42,700,oeste,Buritis,29/08/18,Rua Henrique Furtado Portugal,285
3250921,690000,132,-19.931605,-43.952013,4,4,1,1,200.25,535,centro-sul,Santo Agostinho,29/08/18,Rua Rodrigues Caldas,310
3251065,695000,170,-19.9763904,-43.976389,3,3,1,2,290,584,oeste,Buritis,29/08/18,Rua Eli Seabra Filho,105
3215566,730000,101.08,-19.8895519,-43.9296862,4,3,1,2,193.8,802,nordeste,Silveira,29/08/18,Rua Ilacir Pereira Lima,267
3247272,750000,94.39,-19.8938801,-43.9225158,4,2,1,2,237.2,628,leste,Sagrada Família,29/08/18,Avenida José Cândido da Silveira,440
3255809,750000,125,-19.95474,-43.948054,3,3,1,1,282,1100,centro-sul,São Bento,29/08/18,Rua Professor José Renault,277
3218849,780000,137,-19.9816799,-43.9742344,4,4,2,3,306.15,720,oeste,Buritis,29/08/18,Rua Pedro Natalício de Morais,457
3240472,780000,149,-19.8807057,-43.9980286,3,3,1,3,231,380,pampulha,Pampulha,29/08/18,Avenida Miguel Perrela,115
1839012,800000,180,-19.919649,-43.988242,3,3,1,3,1,265,noroeste,Minas Brasil,29/08/18,Rua Itutinga,95
1831811,890000,172,-19.9046968,-43.9151805,4,4,2,3,324,650,leste,Sagrada Família,29/08/18,Rua Artur Alvim,273
21629,900000,146.89,-19.9558912,-43.9358268,4,2,1,2,305.37,800,centro-sul,Sion,29/08/18,Rua Doutor Astolfo Vieira de Resende,177
3239896,950000,140,-19.8955147,-43.9320985,4,2,1,2,255,1050,nordeste,Nova Floresta,29/08/18,Rua São Gonçalo,785
3244693,1000000,160,-19.9714318,-43.9708154,3,4,3,3,417.45,1150,oeste,Buritis,29/08/18,Rua Stella Hanriot,515
2540890,2000000,540,-19.928501,-43.925843,4,3,2,3,816.92,2200,centro-sul,Funcionários,29/08/18,Rua Piauí,1029
3253506,192388.56,26.81,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
346620,205124.92,28.41,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3253556,209247.93,28.41,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
347206,213453.81,28.41,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
346588,228914.4,32.95,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
346757,231203.54,32.95,-19.9240358,-43.9384257,1,1,1,1,0.01,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3253557,232295.08,34.26,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
346783,235334.77,33.64,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347193,238209.24,32.95,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347098,240065,33.64,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347195,242465.65,33.64,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3253578,242997.25,32.95,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
347209,246775.81,34.01,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347315,247339.21,33.64,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
1993125,265000,72,-19.9561057,-43.967286,2,2,0,1,53.56,300,oeste,Estoril,29/08/18,Rua Cordelina Silveira Matos,150
3244353,265000,78,-19.9161602,-43.9679287,3,2,0,1,68.01,369.6,noroeste,Padre Eustáquio,29/08/18,Rua Frederico Bracher Júnior,200
346604,265829.2,37.15,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3262108,270000,54.46,-19.9136106,-43.9775126,2,1,0,1,79.24,320,noroeste,Padre Eustáquio,29/08/18,Rua Francisco Bicalho,1157
346920,271172.37,37.15,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347197,276622.93,37.15,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3253528,278110.14,36.66,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
3253507,278457.92,35.95,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
346927,284054.92,35.95,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3253508,287705.6,41.07,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
346608,289207.36,38.36,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347214,289402.53,36.66,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
346924,293488.48,41.07,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
346926,295020.43,38.36,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3253564,295588.69,35.95,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
3261869,298554.58,35.95,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
347190,299387.6,41.07,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347215,300950.34,38.36,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347222,302381.48,41.07,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3253509,306033.52,40.05,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
3253565,306999.44,38.36,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
346603,307450,62.28,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
346914,309093.86,40.05,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
346891,310524.5,62.28,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
346589,311547.6,68.9,-19.9240358,-43.9384257,1,1,1,1,1,300,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3253558,312184.79,40.05,-19.9240358,-43.9384257,1,1,1,1,1,234,centro-sul,Centro,29/08/18,Rua Espírito Santo,1059
346919,313629.75,62.28,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347097,316766.04,62.28,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
346908,317809.71,68.9,-19.9240358,-43.9384257,1,1,1,1,1,250,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347217,318459.71,40.05,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347196,319933.7,62.28,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
347175,324197.68,68.9,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3252244,360000,66.79,-19.9764685,-43.9782658,2,1,0,2,123.6,385,oeste,Buritis,29/08/18,Rua José Phino Aleixo,79
3257021,505000,111.64,-19.967102,-43.970873,3,3,1,3,149,692,oeste,Buritis,29/08/18,Rua Iracy Manata,98
3255140,790000,176.82,-19.9766057,-43.9774565,3,2,1,3,0.01,0.01,oeste,Buritis,29/08/18,Avenida Aggeo Pio Sobrinho,201
43732,830000,180,-19.9489041,-43.9474237,4,3,1,2,184,1100,centro-sul,Santo Antônio,29/08/18,Rua Pitangueiras,601
3255591,860000,176.82,-19.9749628,-43.9769795,3,2,1,3,0.01,0.01,oeste,Buritis,29/08/18,Avenida Aggeo Pio Sobrinho,201
3253841,990000,230,-19.9694997,-43.9717477,4,4,2,3,315,697.86,oeste,Buritis,29/08/18,Rua Maria Heilbuth Surette,1404
1609100,2500000,415.51,-19.931638,-43.936373,5,4,2,2,620.81,1800,centro-sul,Lourdes,29/08/18,Rua Gonçalves Dias,1316
346925,283700.16,36.66,-19.9240358,-43.9384257,1,1,1,1,1,1,centro-sul,Lourdes,29/08/18,Rua Espírito Santo,1059
3236345,562000,87,-19.9728915,-43.970122,3,2,1,2,231,700,oeste,Buritis,29/08/18,Rua Clementino Viana Dotti,162
1527241,249000,55,-19.9555608,-43.9674879,2,1,0,1,79,280,oeste,Estoril,29/08/18,Rua Cordelina Silveira Matos,74
3254895,1050000,153,-19.9689576,-43.9707474,4,4,2,4,398,1000,oeste,Buritis,29/08/18,Rua Fidélis Martins,127
1582120,150000,46,-19.9388014,-44.0241569,2,1,0,1,0,100,noroeste,Vila Magnesita,29/08/18,Rua Padre Tiago de Almeida,296
3239276,160000,41.82,-19.9178025,-43.9679438,2,1,0,1,26.62,150,noroeste,Padre Eustáquio,29/08/18,Rua José Azevedo,35
3241787,170000,43.42,-19.9319127,-44.0163073,2,0,0,1,62.48,230,noroeste,Santa Maria,29/08/18,Rua das Ostras,95
3241987,180000,55.62,-19.8736338,-43.9393029,2,1,0,0,55.62,150,nordeste,Palmares,29/08/18,Rua José Cleto,1785
