,Zona,Mean_PreçoZone,Std_PreçoZone
0,0,1703.0416345828176,1243.302999305484
1,1,1136.4407943305962,736.190199725754
2,2,1239.2363229729692,849.9422554045589
3,3,1111.7318281498526,911.1630992823423
4,4,1501.850302597543,1167.4718980700536
5,5,1399.477058546512,1038.042428813995
6,6,1493.1445819193502,1079.4713805200474
7,7,1357.4566197142722,937.2484019103384
8,8,1543.639026138018,1226.4113385052003
9,9,1156.6956421316559,633.9739463311035
10,10,1119.3149796475964,770.5151989086952
11,11,2005.293452667909,1494.2818448921332
12,12,1365.0774392224162,887.7885144553281
13,13,912.3025085448872,587.0782548958815
14,14,955.3127260035881,727.646678326923
15,15,953.5445377565418,489.4509455767704
16,16,1249.363502649629,809.9925369988949
17,17,1138.7463603363758,803.7565753969849
18,18,1345.9154721780537,1007.4517440720277
19,19,1064.7114223460512,641.6627897583471
20,20,1431.0592340567828,1396.1979643438722
21,21,1303.7937256073856,847.8432807158267
22,22,900.1412769266702,523.914015299477
23,23,1324.8403079413051,900.9179515479634
24,24,1781.2908849607081,1415.4378342407722
25,25,939.2403581257583,515.551329468619
26,26,1058.2864241356433,629.4721380567757
27,27,1429.9407372661915,1061.4944769906683
28,28,1382.5927252279266,1042.1837161718374
29,29,1180.265210533315,868.3490078930473
30,30,1076.9601054213774,647.0645831893688
31,31,2574.6690128263945,2070.2102244380008
32,32,1085.4131182545423,781.506229638411
33,33,1245.1072659942897,873.7496992823402
34,34,1857.6866146784216,1640.3030091981334
35,35,1339.0498912459634,904.3599039445431
36,36,1594.638461089351,1116.799385297885
37,37,1397.016287392886,981.54536722785
38,38,1251.3613196558927,1083.73259830624
39,39,1794.1247870162222,1443.7147117015395
40,40,1521.0237865355036,1454.959192059756
41,41,1859.5073112652535,1625.8455715098835
42,42,1351.6248152613143,931.5026073639546
43,43,1101.5173126617733,792.0940329091061
44,44,1968.4145768158292,1455.2076252068036
45,45,1359.1449692093893,965.4827492997583
46,46,1555.888468658826,1044.0075043447662
47,47,906.4046088243571,626.2046070750238
48,48,1297.3306717092626,805.3277536488328
49,49,2091.807118111922,1851.5685443613404
50,50,1450.6218570371252,987.5035210041312
51,51,1477.410849789621,924.2240324782013
52,52,956.956693179593,637.4124315980256
53,53,2317.0548911387914,1940.8469580624899
54,54,959.5361724865065,585.4157713274599
55,55,1248.966066027074,878.8260178692542
56,56,1141.3872687817604,742.1455364273866
57,57,1151.0599325273597,845.2224858417986
58,58,989.3181589720284,749.9641992324322
59,59,1009.1889277573445,596.7893786740358
