,ImovelID,Preço,Area,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_Cond,Valor_IPTU,Latitude,Longitude,Mean_PreçoZone,Std_PreçoZone
2821,3206250,12.384223015005313,16.439088914585778,3,1.4641016151377548,0.8284271247461901,0.8284271247461901,29.68595903550971,14.74514855114758,-19.963327399999997,-43.968548299999995,1319.9347693052955,1019.8932238919642
2822,359861,12.301387370778713,16.439088914585778,3,1.4641016151377548,0.8284271247461901,0.8284271247461901,26.35489375751565,14.124515496597098,-19.9661925,-43.973061,1319.9347693052955,1019.8932238919642
2823,367002,12.283038316285214,16.439088914585778,3,0.8284271247461901,0.0,0.8284271247461901,26.35489375751565,13.62049935181331,-19.965527899999998,-43.9723936,1319.9347693052955,1019.8932238919642
2824,2756312,13.161586013632684,16.432579851990333,3,2.0,0.8284271247461901,2.0,35.46998799039038,23.00479953928845,-19.9722284,-43.9750266,1472.0128165096198,918.2661269510509
2825,356955,12.611541086966115,16.43149478474277,4,1.4641016151377548,0.8284271247461901,0.8284271247461901,31.526109228480415,17.595917942265423,-19.96806193,-43.96886384,1558.7517523032272,1047.0866091668706
2826,3235964,12.524530013005734,16.43149478474277,4,0.8284271247461901,0.8284271247461901,0.8284271247461901,32.69870314579494,17.778776504121787,-19.96664329,-43.96829525,1319.9347693052955,1019.8932238919642
2827,63427,13.502170106720037,16.42606849004963,3,1.4641016151377548,0.8284271247461901,1.4641016151377548,0.8284271247461901,0.8284271247461901,-19.934714800000002,-43.920016600000004,1848.995162471867,1635.741080069783
2828,63425,13.459551072309928,16.42606849004963,3,1.4641016151377548,0.8284271247461901,1.4641016151377548,0.8284271247461901,0.8284271247461901,-19.934714800000002,-43.920016600000004,1848.995162471867,1635.741080069783
2829,63426,13.459551072309928,16.42606849004963,3,1.4641016151377548,0.8284271247461901,1.4641016151377548,0.8284271247461901,0.8284271247461901,-19.934714800000002,-43.920016600000004,1848.995162471867,1635.741080069783
2830,63424,13.415034483903348,16.42606849004963,3,1.4641016151377548,0.8284271247461901,1.4641016151377548,0.8284271247461901,0.8284271247461901,-19.934714800000002,-43.920016600000004,1848.995162471867,1635.741080069783
2831,63423,13.410546824147012,16.42606849004963,3,1.4641016151377548,0.8284271247461901,1.4641016151377548,0.8284271247461901,0.8284271247461901,-19.934714800000002,-43.920016600000004,1848.995162471867,1635.741080069783
2832,63421,13.380875616956182,16.42606849004963,3,1.4641016151377548,0.8284271247461901,1.4641016151377548,0.8284271247461901,0.8284271247461901,-19.934714800000002,-43.920016600000004,1848.995162471867,1635.741080069783
2833,63422,13.380875616956182,16.42606849004963,3,1.4641016151377548,0.8284271247461901,1.4641016151377548,0.8284271247461901,0.8284271247461901,-19.934714800000002,-43.920016600000004,1848.995162471867,1635.741080069783
2834,63418,13.289403769666063,16.42606849004963,3,1.4641016151377548,0.8284271247461901,1.4641016151377548,0.8284271247461901,0.8284271247461901,-19.934714800000002,-43.920016600000004,1848.995162471867,1635.741080069783
