Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
160431,790000,251,-19.9286935,-43.9698172,4,3,1,3,198.92,300,oeste,Prado,43228,Rua João da Cunha,95.0
338433,1376037.51,250.9,-19.9770188,-43.9664981,5,3,1,4,200,500,oeste,Buritis,43228,Rua Doutor Célio Andrade,15.0
338432,1376037.51,250.9,-19.9770188,-43.9664981,5,3,1,4,200,500,oeste,Buritis,43228,Rua Doutor Célio Andrade,15.0
169956,2700000,250,-19.9783081,-43.9441387,4,4,2,5,10700,1400,centro-sul,Belvedere,43228,Rua Levy Lafetá,109.0
180563,1480000,250,-19.9447979,-43.9532683,4,3,1,2,4193.61,0,centro-sul,Luxemburgo,43228,Rua Pio Porto de Menezes,145.0
130637,1440000,250,-19.9353662,-43.9582673,4,1,1,3,350,2200,oeste,Gutierrez,43228,Rua General Dionísio Cerqueira - de 501/502,42.0
143080,1350000,250,-19.88425676,-43.92519206,4,3,2,5,0,0,nordeste,União,43228,Rua João Arantes,235.0
591421,1100000,250,-19.9726399,-43.968452,4,3,1,4,0,380,oeste,Buritis,43228,Rua Stella Hanriot,457.0
16318,1050000,250,-19.975208,-43.962998,5,7,3,5,773.04,1047,oeste,Estoril,43228,Rua Líbero Leone,620.0
361022,2080018,249.85,-19.9272084,-43.9514643,2,1,0,1,0,0,centro-sul,Santo Agostinho,43228,Avenida Barbacena,500.0
28396,1250000,249.68,-19.9772203,-43.9634168,5,6,3,4,395,1254,oeste,Buritis,43228,Rua José Hemetério Andrade,645.0
2085005,1400000,249.28,-19.8893851,-43.9307087,4,3,1,4,255,700,nordeste,Silveira,43228,Rua Everardo Vieira,200.0
850114,950000,246.34,-19.8886681,-43.9334367,4,3,1,3,255.55,700,nordeste,Silveira,43228,,
6987,1200000,246,-19.858637,-43.95409,4,6,4,4,0,0,pampulha,Liberdade,43228,Rua Antônio Paulino de Castro,515.0
3234535,645000,245.86,-19.9141578,-43.9742734,4,3,1,2,240,500,noroeste,Padre Eustáquio,43228,,
145420,1300000,245,-19.940817,-43.9440389,4,3,3,3,461.46,1890,centro-sul,Santo Antônio,43228,,
195619,2670000,243.08,-19.974103,-43.9377331,4,5,4,4,1431.28,2780,centro-sul,Belvedere,43228,,
452093,2751000,243,-19.971517,-43.941343,4,6,4,4,1305,3199.96,centro-sul,Belvedere,43228,Rua Elza Brandão Rodarte,11.0
954736,789000,242.65,-19.9363838,-43.9663358,4,3,1,2,87.2,320,oeste,Grajaú,43228,Rua Santa Cruz,435.0
3241936,1082377.58,241.69,-19.88654,-43.8906141,3,2,1,2,40,400,leste,Cidade Nova,43228,Rua José Silva Passos,300.0
3243523,698000,240.59,-19.97390416,-43.9683931,4,3,1,3,264.48,600,oeste,Buritis,43228,Rua Sílvio de Oliveira Martins,57.0
361620,1484000,240,-19.9525395,-43.9338795,4,3,2,3,616.38,1274,centro-sul,Sion,43228,,
2799600,790000,240,-19.9418692,-43.9686978,3,2,0,2,0,250,oeste,Nova Granada,43228,Rua Industrial José Costa,234.0
7170,750000,240,-19.8815845,-44.0047857,4,2,1,3,200,440,pampulha,Castelo,43228,,
980251,680000,240,-19.9715649,-43.9721675,3,2,1,3,345,941.6,oeste,Buritis,43228,Rua Stella Hanriot,25.0
3256825,650000,240,-19.9802364,-43.9688188,4,5,2,4,0,0,oeste,Buritis,43228,Rua Alessandra Salum Cadar,115.0
165053,850000,239.72,-19.928608,-43.9585982,3,3,1,3,200,400,oeste,Prado,43228,Rua Aristides Duarte,136.0
