Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,
1895372,378000.0,93.0,-19.9376465,-43.98107570000002,3,3,1,1,500.0,66.6,oeste,12/10/2018,Nova Suíssa,Rua Geraldo Bicalho,22,
3236019,399000.0,96.0,-19.9021932,-43.92364429999998,3,3,1,1,330.0,120.43,leste,12/10/2018,Cidade Nova,Rua Conselheiro Lafaiete,1996,
3236019,399000.0,96.0,-19.9021932,-43.92364429999998,3,3,1,1,330.0,120.43,leste,12/10/2018,Sagrada Família,Rua Conselheiro Lafaiete,1996,
3242039,400000.0,95.0,-19.9796897,-43.96552889999998,3,3,3,2,350.0,120.5,oeste,12/10/2018,Buritis,Rua Esmeraldo Botelho,235,
3250034,400000.0,110.0,-19.9783266,-43.96982730000002,3,3,1,2,350.0,140.39,oeste,12/10/2018,Buritis,Rua Professor Miguel de Souza,347,
3238478,420000.0,80.0,-19.884772,-43.93509599999999,3,2,1,2,250.0,150.0,nordeste,12/10/2018,Ipiranga,Rua Ingá,430,
3238478,420000.0,80.0,-19.884772,-43.93509599999999,3,2,1,2,250.0,150.0,nordeste,12/10/2018,Nova Floresta,Rua Ingá,430,
3242227,425000.0,78.44,-19.9831479,-43.9740693,3,1,1,2,670.0,144.0,oeste,12/10/2018,Buritis,Avenida Deputado Cristóvam Chiaradia,391,
2876942,430000.0,98.0,-19.9783111,-43.9698363,3,1,1,2,400.0,189.11,oeste,12/10/2018,Buritis,Rua Professor Miguel de Souza,275,
277019,448000.0,85.0,-19.8973217,-43.9356032,3,2,1,2,278.0,156.73,leste,12/10/2018,Graça,Rua Jataí,896,
277019,448000.0,85.0,-19.8973217,-43.9356032,3,2,1,2,278.0,156.73,nordeste,12/10/2018,Concórdia,Rua Jataí,896,
3261790,450000.0,105.0,-19.9708164,-43.97031500000003,3,3,1,2,369.0,129.0,oeste,12/10/2018,Buritis,Rua Ulisses Marcondes Escobar,195,
3269339,450000.0,65.0,-19.941581,-43.945816000000036,2,2,0,1,290.0,54.75,centro-sul,12/10/2018,Santo Antônio,Rua Rafael Magalhães,20,
180163,475000.0,105.0,-19.9757732,-43.964191400000004,3,2,1,2,650.0,2300.0,oeste,12/10/2018,Buritis,Rua José Hemetério Andrade,430,
1535932,480000.0,85.0,-19.9156461,-43.923650599999974,3,2,1,2,450.0,122.0,leste,12/10/2018,Floresta,Rua Hermilo Alves,193,
1535932,480000.0,85.0,-19.9156461,-43.923650599999974,3,2,1,2,450.0,122.0,leste,12/10/2018,Santa Tereza,Rua Hermilo Alves,193,
3255453,480000.0,124.0,-19.9727494,-43.968920200000014,3,3,1,2,300.0,225.0,oeste,12/10/2018,Buritis,Rua Stella Hanriot,260,
3266536,500000.0,106.0,-19.9689903,-43.96012919999998,3,3,1,2,1000.0,194.0,oeste,12/10/2018,Buritis,Rua José Rodrigues Pereira,1218,
3266536,500000.0,106.0,-19.9689903,-43.96012919999998,3,3,1,2,1000.0,194.0,oeste,12/10/2018,Estoril,Rua José Rodrigues Pereira,1218,
362762,510000.0,117.43,-19.9689658,-43.9722443,3,3,1,2,512.0,278.23,oeste,12/10/2018,Buritis,Rua Professor Euclydes Ferreira,235,
362762,510000.0,117.43,-19.9689658,-43.9722443,3,3,1,2,512.0,278.23,oeste,12/10/2018,Estoril,Rua Professor Euclydes Ferreira,235,
3250256,510000.0,156.21,-19.891477,-43.92951960000005,4,2,1,1,230.0,133.0,nordeste,12/10/2018,Ipiranga,Rua Ilacir Pereira Lima,662,
3250256,510000.0,156.21,-19.891477,-43.92951960000005,4,2,1,1,230.0,133.0,nordeste,12/10/2018,Silveira,Rua Ilacir Pereira Lima,662,
3246840,519000.0,230.0,-19.8919441,-43.92550399999999,4,2,1,1,274.0,200.01,leste,12/10/2018,Cidade Nova,Rua Francisco de Paula Castro,105,
345512,540000.0,190.0,-19.8931931,-43.90772279999999,3,3,1,2,195.0,91.0,leste,12/10/2018,Boa Vista,Rua Emídio Germano,19,
345512,540000.0,190.0,-19.8931931,-43.90772279999999,3,3,1,2,195.0,91.0,leste,12/10/2018,Santa Inês,Rua Emídio Germano,19,
3237368,540000.0,150.0,-19.9746561,-43.9703068,3,3,2,2,360.0,105.0,oeste,12/10/2018,Buritis,Rua Cônsul Walter,150,
3256809,550000.0,110.0,-19.9753949,-43.9650891,3,3,1,2,550.0,229.0,oeste,12/10/2018,Buritis,Rua José Hemetério Andrade,72,
3258309,580000.0,100.0,-19.967461,-43.96506899999997,3,3,1,2,609.0,233.0,oeste,12/10/2018,Buritis,Rua Vitorio Magnavacca,404,
3262152,600000.0,150.0,-19.973864,-43.97065199999997,4,3,1,2,640.0,283.0,oeste,12/10/2018,Buritis,Rua Sílvio de Oliveira Martins,61,
3248963,625000.0,232.0,-19.9739335,-43.964400599999976,3,4,1,3,350.0,140.0,oeste,12/10/2018,Buritis,Rua Doutor Lucídio Avelar,225,
3267316,645000.0,113.0,-19.966667,-43.968119,4,3,1,2,618.64,236.09,oeste,12/10/2018,Buritis,Rua Ernani Agricola,420,
3105834,650000.0,130.0,-19.9747508,-43.96487450000001,4,3,1,3,700.0,286.42,oeste,12/10/2018,Buritis,Rua Henrique Furtado Portugal,285,
3250921,690000.0,132.0,-19.931605,-43.952012999999965,4,4,1,1,535.0,200.25,centro-sul,12/10/2018,Santo Agostinho,Rua Rodrigues Caldas,310,
3251065,695000.0,170.0,-19.9763904,-43.97638899999998,3,3,1,2,584.0,290.0,oeste,12/10/2018,Buritis,Rua Eli Seabra Filho,105,
3215566,730000.0,101.08,-19.8895519,-43.92968619999999,4,3,1,2,802.0,193.8,leste,12/10/2018,Cidade Nova,Rua Ilacir Pereira Lima,267,
3215566,730000.0,101.08,-19.8895519,-43.92968619999999,4,3,1,2,802.0,193.8,nordeste,12/10/2018,Silveira,Rua Ilacir Pereira Lima,267,
3247272,750000.0,94.39,-19.8938801,-43.922515799999985,4,2,1,2,628.0,237.2,leste,12/10/2018,Cidade Nova,Avenida José Cândido da Silveira,440,
3247272,750000.0,94.39,-19.8938801,-43.922515799999985,4,2,1,2,628.0,237.2,leste,12/10/2018,Sagrada Família,Avenida José Cândido da Silveira,440,
3255809,750000.0,125.0,-19.95474,-43.94805400000001,3,3,1,1,1100.0,282.0,centro-sul,12/10/2018,São Bento,Rua Professor José Renault,277,
3218849,780000.0,137.0,-19.9816799,-43.9742344,4,4,2,3,720.0,306.15,oeste,12/10/2018,Buritis,Rua Pedro Natalício de Morais,457,
3240472,780000.0,149.0,-19.8807057,-43.9980286,3,3,1,3,380.0,231.0,pampulha,12/10/2018,Castelo,Avenida Miguel Perrela,115,
3240472,780000.0,149.0,-19.8807057,-43.9980286,3,3,1,3,380.0,231.0,pampulha,12/10/2018,Pampulha,Avenida Miguel Perrela,115,
